Name,SATPercentage,SAT_Bottom25Percent,SAT_Top25Percent,ACTPercentage,ACT_Bottom25Percent,ACT_Top25Percent,PercentageAdmitted,InStateTuition_2014,OutofStateTuition_2014,State,Region,Type,Location,PercentageBlack,PercentageLatinx,PercentageFemale,GraduationRate,PercentageRecievingAnyFinancialAid,PercentageRecievingPellGrant
University of California-Berkeley,91,590,720,40,27,33,18,33319,56197,California,Far West,Public,Midsize City,2,13,52,84,60,27
Muhlenberg College,70,570,670,23,25,31,46,55370,55370,Pennsylvania,Mid East,Private,Midsize City,3,5,59,84,88,9
Trinity College,48,570,680,30,25,29,32,62310,62310,Connecticut,New England,Private,Midsize City,6,7,49,84,38,10
University of Richmond,67,590,690,33,28,31,31,57630,57630,Virginia,Southeast,Private,Midsize City,7,7,53,84,57,16
Grinnell College,49,620,730,51,28,32,35,56354,56354,Iowa,Plains,Private,Remote Town,6,8,54,84,87,22
Oberlin College,71,650,740,42,28,32,30,62132,62132,Ohio,Great Lakes,Private,Fringe Town,5,7,55,84,83,10
Providence College,75,520,620,28,23,28,60,57625,57625,Rhode Island,New England,Private,Midsize City,4,7,56,84,78,15
University of Michigan-Ann Arbor,34,620,720,83,28,32,33,26240,53490,Michigan,Great Lakes,Public,Midsize City,4,4,49,85,47,14
Dickinson College,55,590,675,27,27,31,44,60183,60183,Pennsylvania,Mid East,Private,Small City,4,6,56,85,68,11
Bentley University,89,540,630,27,26,30,44,56930,56930,Massachusetts,New England,Private,Small City,3,7,40,85,69,17
Skidmore College,78,560,680,31,26,30,35,60900,60900,New York,Mid East,Private,Small Suburb,4,9,61,85,46,13
Whitman College,67,610,730,32,28,32,57,56600,56600,Washington,Far West,Private,Small City,1,8,57,85,83,9
St Olaf College,37,590,710,78,26,31,59,51860,51860,Minnesota,Plains,Private,Distant Town,1,4,56,86,92,15
Occidental College,80,600,700,46,27,31,42,63363,63363,California,Far West,Private,Large City,4,16,56,86,65,21
Union College,45,590,680,22,28,31,37,60150,60150,New York,Mid East,Private,Small City,4,7,46,86,77,14
University of Southern California,79,620,720,41,29,33,20,62180,62180,California,Far West,Private,Large City,4,13,50,86,59,18
Macalester College,59,620,740,56,29,32,34,57478,57478,Minnesota,Plains,Private,Large City,3,6,61,86,78,17
University of North Carolina at Chapel Hill,78,590,700,24,28,32,28,24024,45806,North Carolina,Southeast,Public,Small City,9,7,58,86,48,20
Barnard College,73,620,730,47,28,32,21,61512,61512,New York,Mid East,Private,Large City,5,11,100,87,40,18
Rice University,80,670,760,53,31,34,17,54291,54291,Texas,Southwest,Private,Large City,6,15,49,87,60,19
Lafayette College,77,570,670,39,27,31,34,59750,59750,Pennsylvania,Mid East,Private,Large Suburb,5,6,47,87,52,9
College of William and Mary,89,640,740,36,28,32,33,28329,51306,Virginia,Southeast,Public,Small Suburb,7,9,55,87,33,11
Kenyon College,65,630,720,45,28,32,38,60070,60070,Ohio,Great Lakes,Private,Distant Town,3,5,54,88,59,10
Stanford University,86,680,780,39,31,34,6,60749,60749,California,Far West,Private,Large Suburb,6,16,49,88,53,14
Wellesley College,77,660,760,43,29,33,29,59092,59092,Massachusetts,New England,Private,Large Suburb,6,10,98,88,59,19
Emory University,76,620,710,45,29,32,26,59908,59908,Georgia,Southeast,Private,Large Suburb,9,6,57,88,47,19
Washington and Lee University,62,650,740,51,30,33,18,58575,58575,Virginia,Southeast,Private,Distant Town,2,3,50,88,54,10
California Institute of Technology,88,720,800,43,33,35,11,58755,58755,California,Far West,Private,Midsize City,2,10,37,88,54,10
Brandeis University,75,600,710,28,28,32,37,61070,61070,Massachusetts,New England,Private,Small City,5,7,57,88,57,18
Harvey Mudd College,89,680,760,41,32,35,18,63860,63860,California,Far West,Private,Large Suburb,1,9,46,89,71,16
Villanova University,67,590,690,33,29,31,49,58736,58736,Pennsylvania,Mid East,Private,Large Suburb,5,7,52,89,56,14
Claremont McKenna College,58,650,740,42,29,33,12,62010,62010,California,Far West,Private,Large Suburb,4,11,48,89,49,11
Massachusetts Institute of Technology,85,680,770,40,33,35,8,59020,59020,Massachusetts,New England,Private,Midsize City,5,16,45,89,56,16
Bucknell University,68,580,680,32,27,32,30,61060,61060,Pennsylvania,Mid East,Private,Distant Town,3,5,52,90,50,11
Colgate University,66,620,720,34,30,32,26,60050,60050,New York,Mid East,Private,Distant Town,4,8,55,90,41,12
Wesleyan University,80,640,740,41,29,33,21,62849,62849,Connecticut,New England,Private,Small City,7,10,52,90,45,18
Tufts University,62,680,750,38,30,33,19,61000,61000,Massachusetts,New England,Private,Large Suburb,4,6,51,90,37,10
Columbia University in the City of New York,90,690,780,32,31,34,7,64144,64144,New York,Mid East,Private,Large City,7,14,47,90,49,15
Georgetown University,87,650,750,35,29,33,17,62179,62179,District of Columbia,Mid East,Private,Large City,6,8,55,90,42,14
Johns Hopkins University,79,650,740,39,30,34,18,61502,61502,Maryland,Mid East,Private,Large City,6,10,51,90,48,15
Boston College,75,620,710,44,30,33,32,60706,60706,Massachusetts,New England,Private,Small City,4,10,53,90,45,15
University of Virginia-Main Campus,89,620,720,37,29,33,30,26075,53461,Virginia,Southeast,Public,Small City,6,5,56,90,28,11
University of Chicago,70,720,800,51,32,35,9,64988,64988,Illinois,Great Lakes,Private,Large City,5,9,47,91,63,12
Vanderbilt University,44,700,780,62,32,34,13,61112,61112,Tennessee,Southeast,Private,Large City,8,8,50,91,62,13
Brown University,79,660,760,38,29,34,9,60460,60460,Rhode Island,New England,Private,Midsize City,6,11,52,91,47,17
Cornell University,82,640,740,39,30,34,16,61618,61618,New York,Mid East,Private,Small City,6,11,51,91,54,15
Bowdoin College,53,680,760,27,30,33,15,59900,59900,Maine,New England,Private,Fringe Town,5,12,50,91,50,14
Northwestern University,64,690,760,60,31,34,15,63193,63193,Illinois,Great Lakes,Private,Small City,6,10,51,91,54,14
Middlebury College,73,630,740,41,31,33,17,59470,59470,Vermont,New England,Private,Distant Town,3,7,51,91,42,12
Carleton College,61,660,750,58,29,33,21,60425,60425,Minnesota,Plains,Private,Distant Town,3,6,53,91,63,11
Davidson College,79,630,730,52,29,33,26,57458,57458,North Carolina,Southeast,Private,Large Suburb,7,6,50,91,55,13
Duke University,79,670,760,45,30,34,13,61748,61748,North Carolina,Southeast,Private,Midsize City,10,6,50,91,48,14
Colby College,67,620,710,32,28,32,26,59110,59110,Maine,New England,Private,Remote Town,3,6,52,91,41,12
Hamilton College,58,640,730,25,29,33,27,59590,59590,New York,Mid East,Private,Fringe Rural,4,8,51,92,54,18
Swarthmore College,81,680,760,37,31,34,14,60671,60671,Pennsylvania,Mid East,Private,Large Suburb,6,14,51,92,49,13
Washington University in St Louis,55,700,760,61,32,34,16,61808,61808,Missouri,Plains,Private,Large Suburb,6,5,51,92,48,5
Dartmouth College,69,670,780,31,30,34,10,63279,63279,New Hampshire,New England,Private,Remote Town,6,7,49,92,45,12
Haverford College,77,660,750,40,30,33,23,61898,61898,Pennsylvania,Mid East,Private,Large Suburb,6,8,52,92,50,16
Vassar College,75,660,740,40,30,33,24,61320,61320,New York,Mid East,Private,Large Suburb,6,11,56,92,60,23
University of Pennsylvania,81,670,760,40,30,34,12,61800,61800,Pennsylvania,Mid East,Private,Large City,7,9,52,93,51,15
Williams College,86,670,780,37,30,34,17,61850,61850,Massachusetts,New England,Private,Fringe Town,8,12,52,93,53,19
University of Notre Dame,44,660,750,56,32,34,22,60117,60117,Indiana,Great Lakes,Private,Large Suburb,4,10,47,93,58,11
Harvard University,86,700,800,38,32,35,6,59950,59950,Massachusetts,New England,Private,Midsize City,6,9,50,93,58,15
Princeton University,86,700,800,33,31,35,7,55832,55832,New Jersey,Mid East,Private,Large Suburb,8,8,49,93,60,14
Amherst College,63,670,760,41,30,34,14,61544,61544,Massachusetts,New England,Private,Large Suburb,12,13,50,94,57,17
Pomona College,78,690,760,51,31,34,14,59730,59730,California,Far West,Private,Large Suburb,6,15,52,95,57,19
Yale University,84,700,800,35,32,35,7,61620,61620,Connecticut,New England,Private,Midsize City,7,10,49,95,51,13
University of South Florida-Sarasota-Manatee,79,502,580,59,22,25,35,,,Florida,Southeast,Public,Large Suburb,7,13,59,,,
University of Houston-Victoria,64,390,490,31,16,21,51,18118,28738,Texas,Southwest,Public,Small City,17,31,66,,92,67
Texas A & M University-Texarkana,28,430,540,43,19,23,37,16078,24502,Texas,Southwest,Public,Fringe Rural,16,11,64,,97,50
